Number of header lines; NASA Ames sub-format code,44,3010
Name of data creator,None
Institute of data creator,Data held at British Atmospheric Data Centre (BADC), Rutherford Appleton Laboratory, UK.
Data section,30.9,26.6,21.0
Data section,24.1,18.2,16.0
Data section,17.2,15.9,15.6
Data section,10.4,11.9,9.8
Data section,3057.0
Data section,35.6,30.9,24.6
Data section,28.7,22.0,19.5
Data section,21.2,19.7,19.2
Data section,14.3,15.8,13.3
Data section,3088.0
Data section,39.2,34.7,28.9
Data section,32.8,26.5,24.3
Data section,25.6,24.4,24.1
Data section,19.2,20.7,18.2
Data section,3118.0
Data section,35.0,31.7,27.8
Data section,30.5,25.7,24.7
Data section,25.1,25.0,25.9
Data section,21.1,22.8,21.1
Data section,3149.0
Data section,32.6,29.6,25.9
Data section,28.3,24.0,23.0
Data section,23.1,23.1,24.0
Data section,19.1,20.8,19.3
Data section,3180.0
Data section,32.7,29.1,24.8
Data section,27.6,22.7,21.4
Data section,21.7,21.4,21.9
Data section,17.1,18.8,16.9
Data section,3210.0
Data section,30.1,26.1,21.2
Data section,24.1,18.8,17.0
Data section,17.7,16.7,16.4
Data section,11.6,13.0,10.7
Data section,3241.0
Data section,25.0,20.9,15.7
Data section,20.1,14.1,11.8
Data section,14.1,12.4,11.7
Data section,7.9,8.9,6.3
Data section,3271.0
Data section,18.7,14.8,9.6
Data section,14.1,8.3,5.7
Data section,8.4,6.2,5.2
Data section,2.3,2.9,0.4
Data section,3302.0
Data section,15.9,11.7,6.5
Data section,10.3,4.4,1.9
Data section,4.1,1.9,0.9
Data section,-2.6,-1.9,-4.3
Data section,3332.0
Data section,17.3,13.1,7.6
Data section,11.7,5.4,3.0
Data section,5.1,3.3,2.6
Data section,-1.3,-0.4,-2.8
Data section,3361.0
Data section,24.2,20.0,14.7
Data section,18.1,12.3,10.3
Data section,11.4,10.1,10.0
Data section,5.0,6.6,4.3
Data section,3392.0
Data section,30.2,25.8,19.9
Data section,23.9,17.8,15.5
Data section,17.4,15.9,15.7
Data section,11.1,12.6,10.1
Data section,3422.0
Data section,35.7,31.0,24.6
Data section,29.0,22.2,19.8
Data section,21.5,20.1,19.6
Data section,14.8,16.3,13.7
Data section,3453.0
Data section,38.7,34.0,28.1
Data section,32.6,26.1,23.7
Data section,25.5,24.2,24.1
Data section,19.2,20.7,17.9
Data section,3483.0
Data section,33.9,30.7,26.8
Data section,29.4,24.7,23.7
Data section,23.8,23.8,24.5
Data section,19.5,21.5,19.7
Data section,3514.0
Data section,33.6,30.6,26.8
Data section,29.4,25.0,24.1
Data section,23.9,24.2,25.1
Data section,20.0,21.8,20.5
Data section,3545.0
Data section,32.3,28.8,24.5
Data section,27.4,22.5,21.2
Data section,21.5,21.2,21.6
Data section,16.6,18.2,16.6
Data section,3575.0
Data section,30.9,26.9,21.8
Data section,25.3,19.7,17.8
Data section,18.7,17.9,17.8
Data section,12.9,14.3,12.1
Data section,3606.0
Data section,26.9,22.8,17.5
Data section,21.8,16.1,13.8
Data section,15.9,14.2,13.5
Data section,9.7,10.8,8.2
Data section,3636.0
Data section,19.2,15.2,10.1
Data section,14.5,8.8,6.3
Data section,9.0,6.7,5.7
Data section,2.9,3.5,1.2
Data section,3667.0
Data section,17.1,13.0,7.7
Data section,12.1,6.1,3.6
Data section,6.1,3.9,2.9
Data section,-0.3,0.5,-1.8
Data section,3697.0
Data section,19.2,15.0,9.5
Data section,13.5,7.3,4.8
Data section,6.9,5.1,4.5
Data section,0.5,1.6,-1.1
Data section,3726.0
Data section,23.0,18.9,13.7
Data section,16.7,11.0,9.1
Data section,9.8,8.7,8.4
Data section,3.5,5.0,2.4
Data section,3757.0
Data section,28.9,24.6,19.1
Data section,22.4,16.4,14.3
Data section,15.6,14.3,14.0
Data section,8.9,10.3,8.2
Data section,3787.0
Data section,36.5,31.8,25.4
Data section,29.9,23.1,20.5
Data section,22.5,20.9,20.5
Data section,15.8,17.3,14.3
Data section,3818.0
Data section,38.5,33.9,28.1
Data section,32.6,26.0,23.7
Data section,25.4,24.2,24.0
Data section,19.2,20.7,17.9
Data section,3848.0
Data section,34.4,31.1,27.2
Data section,30.0,25.4,24.3
Data section,24.5,24.5,25.3
Data section,20.5,22.3,20.6
Data section,3879.0
Data section,33.3,30.4,26.6
Data section,29.1,24.8,23.8
Data section,23.8,24.0,24.8
Data section,19.9,21.7,20.3
Data section,3910.0
Data section,33.6,30.1,25.8
Data section,28.5,23.5,22.2
Data section,22.5,22.2,22.5
Data section,17.7,19.3,17.4
Data section,3940.0
Data section,30.7,26.5,21.5
Data section,25.0,19.4,17.5
Data section,18.6,17.7,17.4
Data section,12.8,14.2,11.9
Data section,3971.0
Data section,24.4,20.3,15.2
Data section,19.3,13.6,11.3
Data section,13.2,11.6,10.9
Data section,7.0,8.1,5.2
Data section,4001.0
Data section,17.2,13.3,8.8
Data section,11.8,6.3,4.0
Data section,5.7,3.7,2.4
Data section,-0.8,-0.1,-2.1
Data section,4032.0
Data section,17.5,13.5,8.5
Data section,12.1,6.1,3.7
Data section,6.0,3.8,2.8
Data section,-0.6,0.3,-2.2
Data section,4062.0
Data section,19.0,14.9,9.3
Data section,13.3,7.1,4.6
Data section,6.6,4.9,4.2
Data section,0.1,1.1,-1.4
Data section,4091.0
Data section,22.0,17.7,12.3
Data section,15.9,10.1,8.1
Data section,9.5,8.0,7.8
Data section,3.2,4.7,2.5
Data section,4122.0
Data section,29.6,25.3,19.8
Data section,22.9,16.9,14.8
Data section,16.1,14.8,14.4
Data section,9.7,11.2,9.3
Data section,4152.0
Data section,36.7,32.0,25.8
Data section,29.8,23.0,20.5
Data section,22.1,20.8,20.2
Data section,15.4,16.9,14.6
Data section,4183.0
Data section,39.2,34.7,28.8
Data section,33.2,26.8,24.4
Data section,26.1,24.8,24.7
Data section,20.0,21.5,18.8
Data section,4213.0
Data section,35.5,32.3,28.4
Data section,30.4,25.9,25.2
Data section,24.6,24.6,25.3
Data section,20.3,22.2,20.6
Data section,4244.0
Data section,34.1,31.2,27.6
Data section,29.3,25.1,24.5
Data section,23.7,23.8,24.5
Data section,19.8,21.5,19.8
Data section,4275.0
Data section,33.9,30.4,26.0
Data section,28.9,23.9,22.5
Data section,22.8,22.5,22.9
Data section,18.0,19.6,17.5
Data section,4305.0
Data section,31.3,27.3,22.4
Data section,25.4,19.8,17.9
Data section,18.8,17.9,17.6
Data section,12.8,14.3,12.0
Data section,4336.0
Data section,23.0,18.9,13.9
Data section,17.7,12.0,9.7
Data section,11.7,10.1,9.3
Data section,5.5,6.6,4.3
Data section,4366.0
Data section,18.6,14.5,9.6
Data section,13.3,7.7,5.2
Data section,7.3,5.3,4.2
Data section,1.1,1.7,-0.2
Data section,4397.0
Data section,17.7,13.5,8.5
Data section,12.4,6.4,3.9
Data section,6.3,4.0,2.9
Data section,-0.2,0.6,-2.3
Data section,4427.0
Data section,20.3,16.1,10.6
Data section,14.4,8.3,5.8
Data section,7.8,6.1,5.5
Data section,1.6,2.7,0.5
Data section,4457.0
Data section,23.3,19.0,13.7
Data section,17.1,11.3,9.3
Data section,10.4,9.1,8.8
Data section,4.1,5.6,3.7
Data section,4488.0
Data section,30.4,26.0,20.5
Data section,24.0,18.0,15.7
Data section,17.5,16.0,15.9
Data section,11.1,12.6,10.5
Data section,4518.0
Data section,35.9,31.1,24.9
Data section,29.1,22.3,19.7
Data section,21.5,20.1,19.6
Data section,14.8,16.3,13.9
Data section,4549.0
Data section,39.1,34.6,28.8
Data section,33.2,26.7,24.3
Data section,26.0,24.8,24.6
Data section,19.8,21.3,18.6
Data section,4579.0
Data section,35.6,32.4,28.4
Data section,30.8,26.3,25.2
Data section,25.2,25.2,26.0
Data section,21.1,22.9,21.1
Data section,4610.0
Data section,33.0,30.1,26.4
Data section,28.7,24.4,23.4
Data section,23.2,23.5,24.3
Data section,19.3,21.1,19.7
Data section,4641.0
Data section,31.9,28.4,24.1
Data section,26.9,22.0,20.7
Data section,20.9,20.6,20.9
Data section,16.2,17.8,15.9
Data section,4671.0
Data section,31.3,27.3,22.1
Data section,25.8,20.2,18.2
Data section,19.5,18.5,18.3
Data section,13.7,15.1,12.8
Data section,4702.0
Data section,24.4,20.3,15.3
Data section,19.2,13.5,11.2
Data section,13.2,11.6,10.9
Data section,7.0,8.1,5.7
Data section,4732.0
Data section,19.0,14.9,9.9
Data section,14.0,8.4,5.9
Data section,8.4,6.1,5.0
Data section,2.3,2.9,0.4
Data section,4763.0
Data section,18.4,14.2,8.8
Data section,13.3,7.3,4.7
Data section,7.4,5.1,4.1
Data section,1.0,1.7,-1.2
Data section,4793.0
Data section,18.5,14.4,8.9
Data section,12.8,6.6,4.2
Data section,5.9,4.2,3.4
Data section,-0.6,0.4,-2.2
Data section,4822.0
Data section,21.3,17.1,11.8
Data section,15.2,9.4,7.4
Data section,8.7,7.2,6.9
Data section,2.4,3.9,0.8
Data section,4853.0
Data section,30.1,25.8,20.4
Data section,23.3,17.3,15.2
Data section,16.3,15.1,14.7
Data section,9.8,11.3,8.6
Data section,4883.0
Data section,35.4,30.6,24.2
Data section,29.0,21.9,19.3
Data section,21.6,20.1,19.7
Data section,14.9,16.3,13.5
Data section,4914.0
Data section,38.0,33.3,27.5
Data section,32.0,25.4,23.0
Data section,25.0,23.6,23.5
Data section,18.8,20.3,17.4
Data section,4944.0
Data section,34.7,31.4,27.4
Data section,30.1,25.3,24.3
Data section,24.6,24.5,25.4
Data section,20.5,22.2,20.5
Data section,4975.0
Data section,33.2,30.4,26.7
Data section,28.7,24.4,23.5
Data section,23.3,23.5,24.2
Data section,19.4,21.2,19.6
Data section,5006.0
Data section,33.0,29.5,25.2
Data section,27.9,22.9,21.7
Data section,21.9,21.5,21.9
Data section,17.0,18.6,16.7
Data section,5036.0
Data section,31.1,27.1,22.0
Data section,25.4,19.8,17.9
Data section,19.2,18.0,17.8
Data section,13.4,14.8,12.3
Data section,5067.0
Data section,24.4,20.2,15.1
Data section,19.0,13.3,10.9
Data section,13.1,11.3,10.5
Data section,6.9,8.0,5.0
Data section,5097.0
Data section,18.8,14.8,9.5
Data section,14.0,8.3,5.7
Data section,8.7,6.1,5.0
Data section,2.6,3.1,0.1
Data section,5128.0
Data section,19.7,15.4,10.1
Data section,14.5,8.5,6.0
Data section,8.7,6.3,5.3
Data section,2.5,3.0,0.2
Data section,5158.0
Data section,18.5,14.2,8.7
Data section,13.1,6.9,4.3
Data section,6.8,5.0,4.2
Data section,0.7,1.7,-0.9
Data section,5187.0
Data section,23.2,19.0,13.6
Data section,17.3,11.4,9.3
Data section,10.7,9.4,9.2
Data section,4.8,6.2,3.8
Data section,5218.0
Data section,30.2,25.8,20.1
Data section,23.5,17.4,15.2
Data section,16.9,15.5,15.2
Data section,10.6,12.1,9.7
Data section,5248.0
Data section,36.3,31.4,25.3
Data section,29.2,22.4,19.9
Data section,21.8,20.2,19.7
Data section,14.9,16.5,13.6
Data section,5279.0
Data section,39.8,35.2,29.3
Data section,33.9,27.3,24.8
Data section,26.9,25.6,25.5
Data section,20.9,22.5,19.7
Data section,5309.0
Data section,35.4,32.1,28.0
Data section,30.9,26.2,25.1
Data section,25.3,25.3,26.1
Data section,21.4,23.3,21.6
Data section,5340.0
Data section,33.3,30.3,26.5
Data section,29.0,24.7,23.8
Data section,23.7,23.8,24.6
Data section,19.8,21.6,20.0
Data section,5371.0
Data section,34.2,30.6,26.3
Data section,29.2,24.2,22.8
Data section,23.3,23.0,23.5
Data section,18.9,20.5,18.5
Data section,5401.0
Data section,29.6,25.4,20.3
Data section,24.0,18.4,16.4
Data section,17.8,16.7,16.5
Data section,12.0,13.4,10.9
Data section,5432.0
Data section,24.6,20.5,15.4
Data section,19.1,13.5,11.2
Data section,12.9,11.3,10.6
Data section,6.6,7.8,5.0
Data section,5462.0
Data section,17.9,13.9,9.0
Data section,12.9,7.3,4.9
Data section,7.2,5.0,3.9
Data section,0.9,1.6,-0.8
Data section,5493.0
Data section,17.1,12.9,7.5
Data section,12.1,6.0,3.4
Data section,6.0,3.9,3.0
Data section,-0.4,0.3,-2.4
Data section,5523.0
Data section,17.4,13.2,7.6
Data section,11.9,5.6,3.1
Data section,5.3,3.6,2.9
Data section,-1.5,-0.4,-2.9
Data section,5552.0
Data section,25.3,21.0,15.6
Data section,19.5,13.5,11.2
Data section,12.5,11.0,10.7
Data section,6.5,7.5,5.1
Data section,5583.0
Data section,30.9,26.5,20.8
Data section,24.5,18.4,16.1
Data section,17.7,16.4,16.2
Data section,11.4,13.0,10.6
